Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category
2011,1,Ohio,Food,,,,Restaurant - Sit-down dining,2,0,2,0,2,pie,,Multiple
2011,1,Ohio,Food,Norovirus Genogroup II,GII.4 New Orleans,Suspected,Restaurant - Sit-down dining,2,0,2,0,2,,,
2011,1,Virginia,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,7,0,7,0,7,,,
2011,1,Texas,Food,,,,,2,0,2,0,2,,,
2011,1,Colorado,Food,Norovirus unknown,,Confirmed,Grocery store,8,1,8,0,8,mixed fruit,,Fruits
2011,1,Wyoming,Food,Norovirus Genogroup II,,Confirmed,Restaurant - other or unknown type,24,0,24,0,24,"coleslaw; cake, brownie",,Multiple
2011,1,Illinois,Food,Salmonella enterica,Infantis,Confirmed,,29,3,29,0,29,,,
2011,1,Minnesota,Food,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,3,0,3,0,3,,,
2011,1,Minnesota,Food,Norovirus Genogroup I,,Suspected,Restaurant - Sit-down dining,22,1,13,0,22,,,
2011,1,New York,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,2,1,2,0,2,venison,venison,Game
2011,1,South Dakota,Food,Campylobacter jejuni,,Confirmed,,5,0,5,0,5,,,
2011,1,Ohio,Food,Norovirus Genogroup II,GII.4 New Orleans,Confirmed,Grocery store,2,0,2,0,2,"chicken, roasted",,Chicken
2011,1,Minnesota,Food,Norovirus Genogroup II,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter); Private home/residence",6,0,6,0,6,,,
2011,1,Florida,Food,,,,Caterer (food prepared off-site from where served),7,0,7,0,7,"rice, unspecified",rice,Grains-Beans
2011,2,New York,Food,Norovirus; Other,,Confirmed; Suspected,Restaurant - Sit-down dining,8,0,8,0,8,,,
2011,1,Missouri,Food,,,,Caterer (food prepared off-site from where served),28,0,28,0,28,,,
2011,1,Florida,Food,Bacillus cereus,,Suspected,Restaurant - Sit-down dining,6,0,6,0,6,"refried beans, unspecified",beans,Grains-Beans
2011,2,Ohio,Food,,,,Private home/residence,20,0,20,0,20,asparagus,,Vegetable Row Crops
2011,2,Minnesota,Food,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,5,0,5,0,5,,,
2011,2,Minnesota,Food,Norovirus Genogroup II,,Suspected,Caterer (food prepared off-site from where served),15,0,15,0,15,,,
2011,1,Rhode Island,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,14,0,11,0,11,,,
2011,1,Rhode Island,Food,Norovirus Genogroup II,,Confirmed,,54,0,53,0,53,,,
2011,1,California,Food,Norovirus unknown,,Confirmed,Restaurant - Sit-down dining,18,0,18,0,18,"potatoes; orange juice, unspecified",,Multiple
2011,1,Ohio,Food,,,,Restaurant - Sit-down dining,3,1,3,0,3,,,
2011,1,Ohio,Food,,,,Restaurant - Sit-down dining,10,0,10,0,10,"salad, unspecified",,Multiple
2011,1,Ohio,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,"chicken, buffalo wings; celery, unspecified; blue cheese dressing; beer",,Multiple
2011,2,Texas,Food,,,,,3,0,3,0,3,,,
2011,2,Illinois,Food,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,111,0,111,0,111,,,
2011,2,Illinois,Food,,,,Grocery store,2,0,2,0,2,"sandwich, wrap",,Multiple
2011,2,Illinois,Food,Clostridium perfringens,,Confirmed,Restaurant - Sit-down dining,30,0,30,0,30,"chicken, bbq",chicken,Chicken
2011,2,Illinois,Food,,,,Private home/residence; Grocery store,13,,,0,13,"deli meat, multiple; bread, unspecified",,Multiple
2011,1,Ohio,Food,,,,Restaurant - Sit-down dining,6,0,0,0,0,,,
2011,2,Illinois,Food,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,4,0,4,0,4,,,
2011,2,New York,Food,Norovirus,,Suspected,Banquet Facility (food prepared and served on-site),38,0,38,0,38,,,
2011,1,Connecticut,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,11,4,11,0,11,"sandwich, unspecified",,Multiple
2011,2,Illinois,Food,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,12,0,12,0,12,,,
2011,1,Kansas,Food,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,3,0,2,0,2,,,
2011,2,Minnesota,Food,Norovirus,,Confirmed,Other,16,0,16,0,16,"sandwich, submarine","peppers, green; tomato",Seeded Vegetables
2011,2,Minnesota,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,3,0,3,0,3,chicken,chicken,Chicken
2011,2,Illinois,Food,Norovirus Genogroup II,,Confirmed,Private home/residence; Grocery store,24,0,24,0,24,,,
2011,2,Ohio,Food,,,,Restaurant - Sit-down dining,5,0,5,0,5,,,
2011,2,Minnesota,Food,Norovirus,,Suspected,Restaurant - other or unknown type,9,0,9,0,9,,,
2011,3,Illinois,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,10,1,10,0,10,,,
2011,3,Illinois,Food,,,,Restaurant - Sit-down dining,8,0,8,0,8,,,
2011,1,Kentucky,Food,,,,Restaurant - Sit-down dining,6,0,6,0,6,"shrimp, grilled",,Crustaceans
2011,2,Missouri,Food,,,,Private home/residence; Caterer (food prepared off-site from where served),22,0,22,0,22,,,
2011,2,South Carolina,Food,,,,Restaurant - Sit-down dining,18,0,18,0,18,,,
2011,3,New York,Food,,,,Restaurant - Sit-down dining,6,0,6,0,6,,,
