,Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category
0,2011,1,Ohio,Food,nan,nan,nan,Restaurant - Sit-down dining,2,0.0,0.0,pie,nan,Multiple
1,2011,1,Ohio,Food,Norovirus Genogroup II,GII.4 New Orleans,Suspected,Restaurant - Sit-down dining,2,0.0,0.0,nan,nan,nan
2,2011,1,Virginia,Food,Norovirus,nan,Suspected,Restaurant - Sit-down dining,7,0.0,0.0,nan,nan,nan
3,2011,1,Texas,Food,nan,nan,nan,nan,2,0.0,0.0,nan,nan,nan
4,2011,1,Colorado,Food,Norovirus unknown,nan,Confirmed,Grocery store,8,1.0,0.0,mixed fruit,nan,Fruits
5,2011,1,Wyoming,Food,Norovirus Genogroup II,nan,Confirmed,Restaurant - other or unknown type,24,0.0,0.0,"coleslaw; cake, brownie",nan,Multiple
6,2011,1,Illinois,Food,Salmonella enterica,Infantis,Confirmed,nan,29,3.0,0.0,nan,nan,nan
7,2011,1,Minnesota,Food,Norovirus Genogroup I,nan,Confirmed,Restaurant - Sit-down dining,3,0.0,0.0,nan,nan,nan
8,2011,1,Minnesota,Food,Norovirus Genogroup I,nan,Suspected,Restaurant - Sit-down dining,22,1.0,0.0,nan,nan,nan
9,2011,1,New York,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,2,1.0,0.0,venison,venison,Game
10,2011,1,South Dakota,Food,Campylobacter jejuni,nan,Confirmed,nan,5,0.0,0.0,nan,nan,nan
11,2011,1,Ohio,Food,Norovirus Genogroup II,GII.4 New Orleans,Confirmed,Grocery store,2,0.0,0.0,"chicken, roasted",nan,Chicken
12,2011,1,Minnesota,Food,Norovirus Genogroup II,nan,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter); Private home/residence",6,0.0,0.0,nan,nan,nan
13,2011,1,Florida,Food,nan,nan,nan,Caterer (food prepared off-site from where served),7,0.0,0.0,"rice, unspecified",rice,Grains-Beans
14,2011,2,New York,Food,Norovirus; Other,nan,Confirmed; Suspected,Restaurant - Sit-down dining,8,0.0,0.0,nan,nan,nan
15,2011,1,Missouri,Food,nan,nan,nan,Caterer (food prepared off-site from where served),28,0.0,0.0,nan,nan,nan
16,2011,1,Florida,Food,Bacillus cereus,nan,Suspected,Restaurant - Sit-down dining,6,0.0,0.0,"refried beans, unspecified",beans,Grains-Beans
17,2011,2,Ohio,Food,nan,nan,nan,Private home/residence,20,0.0,0.0,asparagus,nan,Vegetable Row Crops
18,2011,2,Minnesota,Food,Norovirus Genogroup II,nan,Suspected,Restaurant - Sit-down dining,5,0.0,0.0,nan,nan,nan
19,2011,2,Minnesota,Food,Norovirus Genogroup II,nan,Suspected,Caterer (food prepared off-site from where served),15,0.0,0.0,nan,nan,nan
20,2011,1,Rhode Island,Food,Norovirus Genogroup II,nan,Confirmed,Restaurant - Sit-down dining,14,0.0,0.0,nan,nan,nan
21,2011,1,Rhode Island,Food,Norovirus Genogroup II,nan,Confirmed,nan,54,0.0,0.0,nan,nan,nan
22,2011,1,California,Food,Norovirus unknown,nan,Confirmed,Restaurant - Sit-down dining,18,0.0,0.0,"potatoes; orange juice, unspecified",nan,Multiple
23,2011,1,Ohio,Food,nan,nan,nan,Restaurant - Sit-down dining,3,1.0,0.0,nan,nan,nan
24,2011,1,Ohio,Food,nan,nan,nan,Restaurant - Sit-down dining,10,0.0,0.0,"salad, unspecified",nan,Multiple
25,2011,1,Ohio,Food,nan,nan,nan,Restaurant - Sit-down dining,3,0.0,0.0,"chicken, buffalo wings; celery, unspecified; blue cheese dressing; beer",nan,Multiple
26,2011,2,Texas,Food,nan,nan,nan,nan,3,0.0,0.0,nan,nan,nan
27,2011,2,Illinois,Food,Norovirus Genogroup I,nan,Confirmed,Restaurant - Sit-down dining,111,0.0,0.0,nan,nan,nan
28,2011,2,Illinois,Food,nan,nan,nan,Grocery store,2,0.0,0.0,"sandwich, wrap",nan,Multiple
29,2011,2,Illinois,Food,Clostridium perfringens,nan,Confirmed,Restaurant - Sit-down dining,30,0.0,0.0,"chicken, bbq",chicken,Chicken
30,2011,2,Illinois,Food,nan,nan,nan,Private home/residence; Grocery store,13,0.0,0.0,"deli meat, multiple; bread, unspecified",nan,Multiple
31,2011,1,Ohio,Food,nan,nan,nan,Restaurant - Sit-down dining,6,0.0,0.0,nan,nan,nan
32,2011,2,Illinois,Food,Norovirus Genogroup I,nan,Confirmed,Restaurant - Sit-down dining,4,0.0,0.0,nan,nan,nan
33,2011,2,New York,Food,Norovirus,nan,Suspected,Banquet Facility (food prepared and served on-site),38,0.0,0.0,nan,nan,nan
34,2011,1,Connecticut,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,11,4.0,0.0,"sandwich, unspecified",nan,Multiple
35,2011,2,Illinois,Food,Norovirus Genogroup I,nan,Confirmed,Restaurant - Sit-down dining,12,0.0,0.0,nan,nan,nan
36,2011,1,Kansas,Food,Norovirus Genogroup II,nan,Suspected,Restaurant - Sit-down dining,3,0.0,0.0,nan,nan,nan
37,2011,2,Minnesota,Food,Norovirus,nan,Confirmed,Other,16,0.0,0.0,"sandwich, submarine","peppers, green; tomato",Seeded Vegetables
38,2011,2,Minnesota,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,3,0.0,0.0,chicken,chicken,Chicken
39,2011,2,Illinois,Food,Norovirus Genogroup II,nan,Confirmed,Private home/residence; Grocery store,24,0.0,0.0,nan,nan,nan
40,2011,2,Ohio,Food,nan,nan,nan,Restaurant - Sit-down dining,5,0.0,0.0,nan,nan,nan
41,2011,2,Minnesota,Food,Norovirus,nan,Suspected,Restaurant - other or unknown type,9,0.0,0.0,nan,nan,nan
42,2011,3,Illinois,Food,Norovirus,nan,Suspected,Restaurant - Sit-down dining,10,1.0,0.0,nan,nan,nan
43,2011,3,Illinois,Food,nan,nan,nan,Restaurant - Sit-down dining,8,0.0,0.0,nan,nan,nan
44,2011,1,Kentucky,Food,nan,nan,nan,Restaurant - Sit-down dining,6,0.0,0.0,"shrimp, grilled",nan,Crustaceans
45,2011,2,Missouri,Food,nan,nan,nan,Private home/residence; Caterer (food prepared off-site from where served),22,0.0,0.0,nan,nan,nan
46,2011,2,South Carolina,Food,nan,nan,nan,Restaurant - Sit-down dining,18,0.0,0.0,nan,nan,nan
47,2011,3,New York,Food,nan,nan,nan,Restaurant - Sit-down dining,6,0.0,0.0,nan,nan,nan
48,2011,2,Oklahoma,Food,nan,nan,nan,"Fair, festival, other temp or mobile services; Prison/jail",352,0.0,0.0,nan,nan,nan
49,2011,2,Maryland,Food,Campylobacter jejuni,nan,Confirmed,Private home/residence,3,1.0,0.0,nan,nan,nan
50,2011,3,Minnesota,Food,Norovirus Genogroup II,nan,Confirmed,Private home/residence; Religious facility,53,6.0,0.0,nan,nan,nan
51,2011,1,California,Food,nan,nan,nan,Restaurant - Sit-down dining,13,0.0,0.0,"tartar sauce, unspecified",nan,Multiple
52,2011,2,Hawaii,Food,nan,nan,nan,nan,2,0.0,0.0,nan,nan,nan
53,2011,3,Ohio,Food,nan,nan,nan,Restaurant - other or unknown type,2,0.0,0.0,nan,nan,nan
54,2011,3,Illinois,Food,nan,nan,nan,Restaurant - Sit-down dining,2,0.0,0.0,nan,nan,nan
55,2011,3,Mississippi,Food,Norovirus Genogroup II,nan,Confirmed,Caterer (food prepared off-site from where served),24,0.0,0.0,nan,nan,nan
56,2011,2,New York,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,2,0.0,0.0,"ground beef, hamburger",ground beef,Beef
57,2011,1,Michigan,Food,nan,nan,nan,nan,13,0.0,0.0,nan,nan,nan
58,2011,3,Minnesota,Food,Norovirus,nan,Confirmed,Restaurant - Sit-down dining,5,0.0,0.0,artichoke dip,nan,Multiple
59,2011,3,Minnesota,Food,Bacillus cereus,nan,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0.0,0.0,"rice, fried rice",nan,Multiple
60,2011,3,Idaho,Food,nan,nan,nan,Banquet Facility (food prepared and served on-site); Caterer (food prepared off-site from where served),43,1.0,0.0,nan,nan,nan
61,2011,3,Minnesota,Food,Clostridium perfringens,nan,Confirmed,Prison/jail,32,0.0,0.0,"potato, scalloped",nan,Multiple
62,2011,3,Louisiana,Food,Salmonella enterica,Pomona,Confirmed,nan,51,2.0,0.0,nan,nan,nan
63,2011,2,California,Food,Norovirus unknown,nan,Confirmed,Restaurant - other or unknown type,14,0.0,0.0,hummus,nan,Multiple
64,2011,2,Pennsylvania,Food,Norovirus,nan,Confirmed,Restaurant - Sit-down dining,24,0.0,0.0,garden salad,nan,Multiple
65,2011,3,Texas,Food,nan,nan,nan,Restaurant - other or unknown type,3,0.0,0.0,nan,nan,nan
66,2011,3,Ohio,Food,nan,nan,nan,Private home/residence,2,1.0,0.0,nan,nan,nan
67,2011,1,Maryland,Food,nan,nan,nan,Private home/residence,6,0.0,0.0,nan,nan,nan
68,2011,2,Florida,Food,Norovirus unknown,nan,Suspected,"Fair, festival, other temp or mobile services",7,0.0,0.0,"oysters, raw",oysters,Mollusks
69,2011,3,Michigan,Food,nan,nan,nan,nan,6,0.0,0.0,nan,nan,nan
70,2011,2,Michigan,Food,nan,nan,nan,nan,15,0.0,0.0,nan,nan,nan
71,2011,2,Colorado,Food,Norovirus unknown,nan,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0.0,0.0,nan,nan,nan
72,2011,1,Oregon,Food,Norovirus Genogroup II,nan,Confirmed,Private home/residence,19,0.0,0.0,nan,nan,nan
73,2011,1,Oregon,Food,Norovirus Genogroup II,nan,Confirmed,Restaurant - Sit-down dining,22,0.0,0.0,nan,nan,nan
74,2011,3,Texas,Food,nan,nan,nan,nan,2,0.0,0.0,nan,nan,nan
75,2011,3,Florida,Food,Norovirus Genogroup II,nan,Confirmed,Restaurant - Sit-down dining,78,3.0,0.0,shredded lettuce,nan,Vegetable Row Crops
76,2011,3,Connecticut,Food,Salmonella enterica,Enteritidis,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",8,2.0,0.0,"sandwich, unspecified; salads",nan,Multiple
77,2011,3,Florida,Food,Norovirus Genogroup II,nan,Confirmed,Restaurant - Sit-down dining,44,0.0,0.0,nan,nan,nan
78,2011,3,New York,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,2,2.0,0.0,venison,venison,Game
79,2011,3,Ohio,Food,Salmonella enterica,Muenchen,Suspected,Unknown,3,0.0,0.0,nan,nan,nan
80,2011,1,Michigan,Food,nan,nan,nan,nan,10,0.0,0.0,nan,nan,nan
