,Year,Month,State,Primary Mode,Etiology,Setting,Illnesses,Hospitalizations,Deaths,IFSAC Category,Etiology_id,IFSAC_id
0,2011,1,Ohio,Food,Unknow,Restaurant - Sit-down dining,2,0.0,0.0,Multiple,0,0
1,2011,1,Ohio,Food,Norovirus Genogroup II,Restaurant - Sit-down dining,2,0.0,0.0,Unknow,1,1
2,2011,1,Virginia,Food,Norovirus,Restaurant - Sit-down dining,7,0.0,0.0,Unknow,2,1
3,2011,1,Texas,Food,Unknow,Unknow,2,0.0,0.0,Unknow,0,1
4,2011,1,Colorado,Food,Norovirus unknown,Grocery store,8,1.0,0.0,Fruits,3,2
5,2011,1,Wyoming,Food,Norovirus Genogroup II,Restaurant - other or unknown type,24,0.0,0.0,Multiple,1,0
6,2011,1,Illinois,Food,Salmonella enterica,Unknow,29,3.0,0.0,Unknow,4,1
7,2011,1,Minnesota,Food,Norovirus Genogroup I,Restaurant - Sit-down dining,3,0.0,0.0,Unknow,5,1
8,2011,1,Minnesota,Food,Norovirus Genogroup I,Restaurant - Sit-down dining,22,1.0,0.0,Unknow,5,1
9,2011,1,New York,Food,"Escherichia coli, Shiga toxin-producing",Private home/residence,2,1.0,0.0,Game,6,3
10,2011,1,South Dakota,Food,Campylobacter jejuni,Unknow,5,0.0,0.0,Unknow,7,1
11,2011,1,Ohio,Food,Norovirus Genogroup II,Grocery store,2,0.0,0.0,Chicken,1,4
12,2011,1,Minnesota,Food,Norovirus Genogroup II,"Restaurant - ""Fast-food""(drive up service or pay at counter); Private home/residence",6,0.0,0.0,Unknow,1,1
13,2011,1,Florida,Food,Unknow,Caterer (food prepared off-site from where served),7,0.0,0.0,Grains-Beans,0,5
14,2011,2,New York,Food,Norovirus; Other,Restaurant - Sit-down dining,8,0.0,0.0,Unknow,8,1
15,2011,1,Missouri,Food,Unknow,Caterer (food prepared off-site from where served),28,0.0,0.0,Unknow,0,1
16,2011,1,Florida,Food,Bacillus cereus,Restaurant - Sit-down dining,6,0.0,0.0,Grains-Beans,9,5
17,2011,2,Ohio,Food,Unknow,Private home/residence,20,0.0,0.0,Vegetable Row Crops,0,6
18,2011,2,Minnesota,Food,Norovirus Genogroup II,Restaurant - Sit-down dining,5,0.0,0.0,Unknow,1,1
19,2011,2,Minnesota,Food,Norovirus Genogroup II,Caterer (food prepared off-site from where served),15,0.0,0.0,Unknow,1,1
20,2011,1,Rhode Island,Food,Norovirus Genogroup II,Restaurant - Sit-down dining,14,0.0,0.0,Unknow,1,1
21,2011,1,Rhode Island,Food,Norovirus Genogroup II,Unknow,54,0.0,0.0,Unknow,1,1
22,2011,1,California,Food,Norovirus unknown,Restaurant - Sit-down dining,18,0.0,0.0,Multiple,3,0
23,2011,1,Ohio,Food,Unknow,Restaurant - Sit-down dining,3,1.0,0.0,Unknow,0,1
24,2011,1,Ohio,Food,Unknow,Restaurant - Sit-down dining,10,0.0,0.0,Multiple,0,0
25,2011,1,Ohio,Food,Unknow,Restaurant - Sit-down dining,3,0.0,0.0,Multiple,0,0
26,2011,2,Texas,Food,Unknow,Unknow,3,0.0,0.0,Unknow,0,1
27,2011,2,Illinois,Food,Norovirus Genogroup I,Restaurant - Sit-down dining,111,0.0,0.0,Unknow,5,1
28,2011,2,Illinois,Food,Unknow,Grocery store,2,0.0,0.0,Multiple,0,0
29,2011,2,Illinois,Food,Clostridium perfringens,Restaurant - Sit-down dining,30,0.0,0.0,Chicken,10,4
30,2011,2,Illinois,Food,Unknow,Private home/residence; Grocery store,13,0.0,0.0,Multiple,0,0
31,2011,1,Ohio,Food,Unknow,Restaurant - Sit-down dining,6,0.0,0.0,Unknow,0,1
32,2011,2,Illinois,Food,Norovirus Genogroup I,Restaurant - Sit-down dining,4,0.0,0.0,Unknow,5,1
33,2011,2,New York,Food,Norovirus,Banquet Facility (food prepared and served on-site),38,0.0,0.0,Unknow,2,1
34,2011,1,Connecticut,Food,Salmonella enterica,Restaurant - Sit-down dining,11,4.0,0.0,Multiple,4,0
35,2011,2,Illinois,Food,Norovirus Genogroup I,Restaurant - Sit-down dining,12,0.0,0.0,Unknow,5,1
36,2011,1,Kansas,Food,Norovirus Genogroup II,Restaurant - Sit-down dining,3,0.0,0.0,Unknow,1,1
37,2011,2,Minnesota,Food,Norovirus,Other,16,0.0,0.0,Seeded Vegetables,2,7
38,2011,2,Minnesota,Food,Salmonella enterica,Private home/residence,3,0.0,0.0,Chicken,4,4
39,2011,2,Illinois,Food,Norovirus Genogroup II,Private home/residence; Grocery store,24,0.0,0.0,Unknow,1,1
40,2011,2,Ohio,Food,Unknow,Restaurant - Sit-down dining,5,0.0,0.0,Unknow,0,1
41,2011,2,Minnesota,Food,Norovirus,Restaurant - other or unknown type,9,0.0,0.0,Unknow,2,1
42,2011,3,Illinois,Food,Norovirus,Restaurant - Sit-down dining,10,1.0,0.0,Unknow,2,1
43,2011,3,Illinois,Food,Unknow,Restaurant - Sit-down dining,8,0.0,0.0,Unknow,0,1
44,2011,1,Kentucky,Food,Unknow,Restaurant - Sit-down dining,6,0.0,0.0,Crustaceans,0,8
