Year,Number of Illnesses
2011,2
2011,2
2011,7
2011,2
2011,8
2011,24
2011,29
2011,3
2011,22
2011,2
2011,5
2011,2
2011,6
2011,7
2011,8
2011,28
2011,6
2011,20
2011,5
2011,15
2011,14
2011,54
2011,18
2011,3
2011,10
2011,3
2011,3
2011,111
2011,2
2011,30
2011,13
2011,6
2011,4
2011,38
2011,11
2011,12
2011,3
2011,16
2011,3
2011,24
2011,5
2011,9
2011,10
2011,8
2011,6
2011,22
2011,18
2011,6
2011,352
2011,3
2011,53
2011,13
2011,2
2011,2
2011,2
2011,24
2011,2
2011,13
2011,5
2011,3
2011,43
2011,32
2011,51
2011,14
2011,24
2011,3
2011,2
2011,6
2011,7
2011,6
2011,15
2011,3
2011,19
2011,22
2011,2
2011,78
2011,8
2011,44
2011,2
2011,3
2011,10
2011,5
2011,6
2011,2
2011,2
2011,2
2011,24
2011,18
2011,81
2011,3
2011,80
2011,3
2011,20
2011,4
2011,2
2011,6
2011,4
2011,8
2011,57
2011,23
2011,7
2011,23
2011,6
2011,9
2011,22
2011,207
2011,2
2011,27
2011,8
2011,11
2011,2
2011,4
2011,3
2011,23
2011,2
2011,9
2011,3
2011,2
2011,18
2011,24
2011,18
2011,8
2011,21
2011,57
2011,41
2011,4
2011,2
2011,3
2011,2
2011,2
2011,3
2011,2
2011,2
2011,14
2011,36
2011,11
2011,13
2011,3
2011,7
2011,81
2011,8
2011,4
2011,7
2011,8
2011,19
2011,14
2011,6
2011,3
2011,3
2011,6
2011,13
2011,20
2011,19
2011,61
2011,29
2011,9
2011,5
2011,32
2011,13
2011,6
2011,10
2011,14
2011,3
2011,4
2011,6
2011,3
2011,4
2011,3
2011,24
2011,53
2011,13
2011,4
2011,21
2011,3
2011,197
2011,28
2011,4
2011,19
2011,13
2011,11
2011,50
2011,3
2011,115
2011,2
2011,8
2011,13
2011,12
2011,7
2011,2
2011,6
2011,90
2011,17
2011,4
2011,37
2011,25
2011,2
2011,39
2011,5
2011,12
2011,12
2011,2
2011,15
2011,30
2011,3
2011,27
2011,71
2011,4
2011,2
2011,2
2011,33
2011,36
2011,7
2011,15
2011,2
2011,13
2011,16
2011,80
2011,7
2011,17
2011,9
2011,7
2011,4
2011,3
2011,14
2011,12
2011,13
2011,5
2011,7
2011,5
2011,23
2011,21
2011,4
2011,21
2011,12
2011,5
2011,2
2011,4
2011,2
2011,15
2011,5
2011,3
2011,16
2011,9
2011,14
2011,19
2011,5
2011,4
2011,2
2011,2
2011,2
2011,19
2011,7
2011,5
2011,2
2011,11
2011,16
2011,6
2011,25
2011,10
2011,25
2011,21
2011,30
2011,18
2011,5
2011,9
2011,2
2011,2
2011,2
2011,312
2011,6
2011,10
2011,9
2011,10
2011,19
2011,17
