Date,Illnesses
01/01/2011,2
01/01/2011,2
01/01/2011,7
01/01/2011,2
01/01/2011,8
01/01/2011,24
01/01/2011,29
01/01/2011,3
01/01/2011,22
01/01/2011,2
01/01/2011,5
01/01/2011,2
01/01/2011,6
01/01/2011,7
01/02/2011,8
01/01/2011,28
01/01/2011,6
01/02/2011,20
01/02/2011,5
01/02/2011,15
01/01/2011,14
01/01/2011,54
01/01/2011,18
01/01/2011,3
01/01/2011,10
01/01/2011,3
01/02/2011,3
01/02/2011,111
01/02/2011,2
01/02/2011,30
01/02/2011,13
01/01/2011,6
01/02/2011,4
01/02/2011,38
01/01/2011,11
01/02/2011,12
01/01/2011,3
01/02/2011,16
01/02/2011,3
01/02/2011,24
01/02/2011,5
01/02/2011,9
01/03/2011,10
01/03/2011,8
01/01/2011,6
01/02/2011,22
01/02/2011,18
01/03/2011,6
01/02/2011,352
01/02/2011,3
01/03/2011,53
01/01/2011,13
01/02/2011,2
01/03/2011,2
01/03/2011,2
01/03/2011,24
01/02/2011,2
01/01/2011,13
01/03/2011,5
01/03/2011,3
01/03/2011,43
01/03/2011,32
01/03/2011,51
01/02/2011,14
01/02/2011,24
01/03/2011,3
01/03/2011,2
01/01/2011,6
01/02/2011,7
01/03/2011,6
01/02/2011,15
01/02/2011,3
01/01/2011,19
01/01/2011,22
01/03/2011,2
01/03/2011,78
01/03/2011,8
01/03/2011,44
01/03/2011,2
01/03/2011,3
01/01/2011,10
01/03/2011,5
01/03/2011,6
01/03/2011,2
01/03/2011,2
01/04/2011,2
01/04/2011,24
01/03/2011,18
01/03/2011,81
01/04/2011,3
01/04/2011,80
01/04/2011,3
01/04/2011,20
01/04/2011,4
01/03/2011,2
01/01/2011,6
01/01/2011,4
01/04/2011,8
01/04/2011,57
01/04/2011,23
01/04/2011,7
01/03/2011,23
01/04/2011,6
01/04/2011,9
01/04/2011,22
01/02/2011,207
01/03/2011,2
01/02/2011,27
01/02/2011,8
01/01/2011,11
01/03/2011,2
01/03/2011,4
01/03/2011,3
01/04/2011,23
01/01/2011,2
01/04/2011,9
01/04/2011,3
01/04/2011,2
01/03/2011,18
01/04/2011,24
01/02/2011,18
01/03/2011,8
01/03/2011,21
01/03/2011,57
01/04/2011,41
01/04/2011,4
01/02/2011,2
01/05/2011,3
01/04/2011,2
01/03/2011,2
01/04/2011,3
01/03/2011,2
01/05/2011,2
01/04/2011,14
01/04/2011,36
01/05/2011,11
01/05/2011,13
01/04/2011,3
01/05/2011,7
01/04/2011,81
01/04/2011,8
01/05/2011,4
01/01/2011,7
01/02/2011,8
01/04/2011,19
01/03/2011,14
01/04/2011,6
01/04/2011,3
01/05/2011,3
01/05/2011,6
01/03/2011,13
01/05/2011,20
01/05/2011,19
01/04/2011,61
01/04/2011,29
01/05/2011,9
01/05/2011,5
01/05/2011,32
01/05/2011,13
01/05/2011,6
01/05/2011,10
01/03/2011,14
01/03/2011,3
01/05/2011,4
01/05/2011,6
01/05/2011,3
01/05/2011,4
01/05/2011,3
01/04/2011,24
01/03/2011,53
01/05/2011,13
01/05/2011,4
01/04/2011,21
01/05/2011,3
01/04/2011,197
01/03/2011,28
01/05/2011,4
01/02/2011,19
01/06/2011,13
01/06/2011,11
01/04/2011,50
01/05/2011,3
01/05/2011,115
01/05/2011,2
01/06/2011,8
01/06/2011,13
01/04/2011,12
01/05/2011,7
01/06/2011,2
01/06/2011,6
01/06/2011,90
01/02/2011,17
01/05/2011,4
01/01/2011,37
01/05/2011,25
01/03/2011,2
01/05/2011,39
01/04/2011,5
01/04/2011,12
01/05/2011,12
01/06/2011,2
01/06/2011,15
01/06/2011,30
01/03/2011,3
01/03/2011,27
01/03/2011,71
01/04/2011,4
01/06/2011,2
01/03/2011,2
01/02/2011,33
01/01/2011,36
01/04/2011,7
01/03/2011,15
01/05/2011,2
01/06/2011,13
01/06/2011,16
01/06/2011,80
01/05/2011,7
01/04/2011,17
01/04/2011,9
01/04/2011,7
01/05/2011,4
01/05/2011,3
01/06/2011,14
01/05/2011,12
01/04/2011,13
01/06/2011,5
01/04/2011,7
01/05/2011,5
01/06/2011,23
01/06/2011,21
01/06/2011,4
01/04/2011,21
01/06/2011,12
